2933	2933
1093	2933
1493	2933
950	2933
714	2933
3571	2933
3814	2933
1299	2933
3069	2933
69	2933
224	2933
2098	2933
3481	2933
1375	2933
590	2933
274	2933
4119	2933
3216	2933
2164	2933
4093	2933
1448	2933
3845	2933
3768	2933
3093	2933
3478	2933
2412	2933
3765	2933
1158	2933
2329	2933
2757	2933
2338	2933
1460	2933
2442	2933
69	2933
24	2933
451	2933
1659	2933
3486	2933
3019	2933
1330	2933
1113	2933
4278	2933
2000	2933
955	2933
2421	2933
66	2933
1327	2933
3554	2933
34	2933
809	2933
3166	2933
2982	2933
2376	2933
1631	2933
391	2933
292	2933
1240	2933
526	2933
218	2933
1216	2933
3302	2933
2675	2933
3041	2933
2341	2933
350	2933
3739	2933
3703	2933
224	2933
3332	2933
912	2933
4272	2933
2655	2933
1029	2933
478	2933
3239	2933
2471	2933
1571	2933
2157	2933
1161	2933
2588	2933
1840	2933
3728	2933
2337	2933
1878	2933
1402	2933
1430	2933
3931	2933
2099	2933
1868	2933
968	2933
228	2933
288	2933
2400	2933
2242	2933
3401	2933
337	2933
3927	2933
3907	2933
1213	2933
4239	2933
2074	2933
2780	2933
374	2933
4008	2933
2621	2933
3945	2933
1487	2933
2850	2933
3858	2933
2790	2933
2434	2933
111	2933
937	2933
1938	2933
3020	2933
3870	2933
1256	2933
3587	2933
460	2933
508	2933
885	2933
4188	2933
44	2933
678	2933
4038	2933
2336	2933
3831	2933
2648	2933
3238	2933
2756	2933
4036	2933
4267	2933
2148	2933
672	2933
3222	2933
1926	2933
203	2933
986	2933
3188	2933
186	2933
407	2933
3003	2933
1618	2933
3688	2933
1060	2933
2448	2933
1586	2933
1457	2933
2881	2933
212	2933
3848	2933
3624	2933
4079	2933
1004	2933
1053	2933
1564	2933
1740	2933
2962	2933
1360	2933
3727	2933
2818	2933
68	2933
1188	2933
3270	2933
1084	2933
1710	2933
446	2933
3648	2933
3267	2933
462	2933
768	2933
2933	1093
1093	1093
1493	1093
950	1093
714	1093
3571	1093
3814	1093
1299	1093
3069	1093
69	1093
