N0	-80.37741249010	25.53120214790
N1	-80.47506273410	25.45336610630
N2	-80.38558472940	25.64740610530
N3	-80.31841770850	25.72360008830
N4	-80.38589970880	25.77649310920
N5	-80.32101870790	25.78082208040
N6	-80.20393772530	25.78884110750
N7	-80.21300972640	25.74896208510
N8	-80.18544274660	25.78714909160
N9	-80.20634973770	25.81244809180
N10	-80.13591571810	25.81281710970
N11	-80.32432174610	25.90035107240
N12	-80.38543173940	25.90047710700
N13	-80.20735771400	25.92682008170
N14	-80.21574571770	25.93489310500
N15	-80.35119572900	25.94857310190
N16	-80.22966481730	25.97347882950
N17	-80.22987572720	25.97857009210
N18	-80.43283006630	26.01230852920
N19	-80.16843271400	26.08154810520
N20	-80.13463771680	26.08063008080
N21	-80.21638471840	26.09074609860
N22	-80.34593973300	26.12225507490
N23	-80.44217672030	26.14591609760
N24	-81.61245710550	26.15406639080
N25	-81.22366484800	26.16603094160
N26	-80.83238298820	26.16678040600
N27	-80.29468473280	26.19409308720
N28	-80.15069484930	26.19599997100
N29	-80.20271968540	26.20165724720
N30	-80.28524632370	26.30227795460
N31	-80.11970671710	26.30456807730
N32	-80.16953972550	26.30554009870
N33	-80.09319271120	26.39442410030
N34	-80.59014527560	26.40298974530
N35	-81.77455501560	26.42841179260
N36	-80.17347199130	26.59268072450
N37	-80.07043301510	26.65864738970
N38	-80.71529972580	26.66410007640
N39	-81.01914243390	26.75412473490
N40	-81.88100671310	26.76986807690
N41	-80.12894082640	26.86707682290
N42	-81.24345031250	26.90108367080
N43	-80.14091359700	26.90569651030
N44	-82.04175455460	27.00921441960
N45	-82.30532411330	27.10589056740
N46	-80.26875573050	27.10975308720
N47	-80.28018600220	27.12508158630
N48	-81.32866100620	27.17914869110
N49	-80.39965936130	27.22431006500
N50	-80.34946273450	27.25658487610
N51	-82.44851950430	27.30644020030
N52	-80.39484784720	27.39595955400
N53	-81.44558671100	27.47203007710
N54	-80.44871766220	27.51707411560
N55	-80.64144719520	27.55579734010
N56	-82.51386874520	27.58596109520
N57	-82.66010658410	27.62182370130
N58	-80.51953171180	27.64388508370
N59	-80.89480474250	27.69607610820
N60	-81.56468115960	27.70261024320
N61	-82.36613642210	27.76464330960
N62	-82.65791374640	27.76770709210
N63	-82.63859973710	27.76579009000
N64	-82.65923674540	27.77641907480
N65	-99.42664590050	27.77682606210
N66	-99.50309671000	27.50878609220
N67	-82.64267672460	27.77682408990
N68	-97.51328596180	27.81731549300
N69	-97.39796070760	27.79976507580
N70	-97.62614672370	27.86146007270
N71	-97.62282572880	27.86371909420
N72	-80.59834022630	27.90994017250
N73	-82.61062187050	27.91961067510
N74	-81.06055751450	27.92362555000
N75	-81.62481442080	27.96230016160
N76	-82.45095874270	27.96478910460
N77	-82.32718173190	28.00213008190
N78	-82.08574453550	28.03702383580
N79	-99.34982671780	28.05291707140
N80	-82.45459471790	28.07899148600
N81	-81.28071459740	28.10815996230
N82	-97.82352195930	28.11993262120
N83	-81.87600106050	28.14622262310
N84	-80.70587455650	28.15742823330
N85	-82.39471772920	28.17083508360
N86	-81.65012074610	28.23247608430
N87	-81.55203870970	28.32564410270
N88	-99.27160975580	28.35495856060
N89	-98.04598851830	28.36653645060
N90	-81.38983170830	28.37103110480
N91	-81.24401373770	28.40233309500
N92	-82.30316668560	28.40671606510
N93	-80.82040172800	28.41189110680
N94	-81.47429674350	28.42099910500
N95	-81.40883973770	28.43317607300
N96	-81.22966774170	28.45176108830
N97	-81.01668966160	28.45223813370
N98	-81.44899774240	28.47888709640
N99	-81.71505336800	28.48243118780
N100	-81.52674870810	28.53328310380
N101	-81.38313572140	28.53526310160
N102	-81.27557671030	28.54537007760
N103	-81.26891672150	28.55815009050
N104	-81.70001712970	28.57530866860
N105	-82.18062896580	28.62260635500
N106	-98.23742927330	28.63379582150
N107	-99.17996773940	28.65232777050
N108	-81.23113825280	28.66481502710
N109	-80.87090740140	28.66926471250
N110	-81.85356572470	28.67515007830
N111	-81.38844287170	28.67540341910
N112	-81.28127371940	28.76862407660
N113	-81.96627639330	28.77759322940
N114	-81.33799174490	28.81120309220
N115	-81.27325473450	28.81176109820
N116	-82.09157073490	28.85925409040
N117	-98.42478873680	28.90276908800
N118	-80.93989267960	28.92767506750
N119	-99.08892956030	28.93936430070
N120	-81.24053331740	29.00760715530
N121	-82.17517486620	29.06293946140
N122	-98.43156604120	29.12023107720
N123	-98.87310032170	29.15339726130
N124	-81.07571370980	29.15527308430
N125	-82.19827857640	29.28151736710
N126	-98.60830774530	29.31660710030
N127	-98.41571673570	29.32945010980
N128	-81.13198946130	29.35033944720
N129	-98.47819472470	29.39507810380
N130	-98.51117973140	29.39619407340
N131	-98.70098971070	29.38176708350
N132	-98.64952772340	29.39726508860
N133	-98.58776973080	29.40769608490
N134	-95.04470519350	29.41461057010
N135	-94.83782071190	29.28824808760
N136	-98.50082073030	29.43070910740
N137	-98.64596374430	29.43365208580
N138	-98.39011171330	29.43576707450
N139	-98.47789774340	29.43895307840
N140	-98.40348572930	29.44772809820
N141	-98.41359274750	29.45561209210
N142	-98.29254272850	29.46523309960
N143	-98.40403473660	29.47951609910
N144	-98.70982772710	29.48380907310
N145	-82.28748273930	29.48433108100
N146	-98.54925874540	29.49959510140
N147	-98.39781571870	29.51019708760
N148	-98.47974270800	29.52012407510
N149	-98.39381972510	29.52429109910
N150	-81.20999371300	29.54065309010
N151	-98.33320474200	29.56784209470
N152	-98.30419772990	29.58533809580
N153	-98.59845271170	29.59092707020
N154	-97.96110501320	29.59913902260
