AL	0.59
AK	0.72
AZ	0.72
AR	0.59
CA	0.72
CO	0.72
CT	0.52
DE	0.59
DC	0.59
FL	0.59
GA	0.59
HI	0.72
ID	0.72
IL	0.75
IN	0.75
IA	0.75
KS	0.75
KY	0.59
LA	0.59
ME	0.52
MD	0.59
MA	0.52
MI	0.75
MN	0.75
MS	0.59
MO	0.75
MT	0.72
NE	0.75
NV	0.72
NH	0.52
NJ	0.52
NM	0.72
NY	0.52
NC	0.59
ND	0.75
OH	0.75
OK	0.59
OR	0.72
PA	0.52
RI	0.52
SC	0.59
SD	0.75
TN	0.59
TX	0.59
UT	0.72
VT	0.52
VA	0.59
WA	0.72
WV	0.59
WI	0.75
WY	0.72
