25181.25	25504.6875	25828.125	26151.5625	26475
386.375	401.53125	416.6875	431.84375	447
26134.875	27226.90625	28318.9375	29410.96875	30503
475.75	474.8125	473.875	472.9375	472
359.375	364.53125	369.6875	374.84375	380
432.5	448.125	463.75	479.375	495
192.375	187.53125	182.6875	177.84375	173
2647.75	2663.0625	2678.375	2693.6875	2709
633.75	751.5625	869.375	987.1875	1105
0	0	0	0	0
190.625	205.46875	220.3125	235.15625	250
6571.25	6974.6875	7378.125	7781.5625	8185
762.625	781.21875	799.8125	818.40625	837
1358.75	1422.8125	1486.875	1550.9375	1615
286.625	301.46875	316.3125	331.15625	346
0	0	0	0	0
1536.125	1664.09375	1792.0625	1920.03125	2048
0	0	0	0	0
28465.25	30284.9375	32104.625	33924.3125	35744
0	0	0	0	0
0	0	0	0	0
233.5	234.125	234.75	235.375	236
165.625	167.96875	170.3125	172.65625	175
0	0	0	0	0
441.75	474.5625	507.375	540.1875	573
0	0	0	0	0
357.625	369.96875	382.3125	394.65625	407
1158.125	1237.34375	1316.5625	1395.78125	1475
12.375	17.53125	22.6875	27.84375	33
45.5	46.125	46.75	47.375	48
0	0	0	0	0
13261.75	13438.3125	13614.875	13791.4375	13968
0	0	0	0	0
1305.125	1548.09375	1791.0625	2034.03125	2277
4884.25	5546.4375	6208.625	6870.8125	7533
0	0	0	0	0
860.125	991.84375	1123.5625	1255.28125	1387
195.375	276.78125	358.1875	439.59375	521
781.375	880.28125	979.1875	1078.09375	1177
1527.625	1607.46875	1687.3125	1767.15625	1847
1390.125	1473.09375	1556.0625	1639.03125	1722
780.375	1105.53125	1430.6875	1755.84375	2081
0	0	0	0	0
194.25	275.1875	356.125	437.0625	518
185315.875	201437.9063	217559.9375	233681.9688	249804
194.25	275.1875	356.125	437.0625	518
0	0	0	0	0
0	0	0	0	0
1859.125	2244.59375	2630.0625	3015.53125	3401
0	0	0	0	0
31137.875	32274.90625	33411.9375	34548.96875	35686
195.375	276.78125	358.1875	439.59375	521
0	0	0	0	0
7918.5	8410.375	8902.25	9394.125	9886
42	59.5	77	94.5	112
78391	84989.75	91588.5	98187.25	104786
2422.875	2512.40625	2601.9375	2691.46875	2781
