AL	0.016490142
AK	0.002314702
AZ	0.021779087
AR	0.010012443
CA	0.103841853
CO	0.016921609
CT	0.011204443
DE	0.003102411
DC	0.002281178
FL	0.068128142
GA	0.030947346
HI	0.003962693
ID	0.005091698
IL	0.039829135
IN	0.021155019
IA	0.01016256
KS	0.009334935
KY	0.014582254
LA	0.014990905
ME	0.005445124
MD	0.01810211
MA	0.021185809
MI	0.034074123
MN	0.017836295
MS	0.009662179
MO	0.020473964
MT	0.003657835
NE	0.006076932
NV	0.008937149
NH	0.004642498
NJ	0.026943253
NM	0.006815629
NY	0.061188638
NC	0.033088602
ND	0.002555013
OH	0.038583484
OK	0.012667318
OR	0.012680713
PA	0.041905401
RI	0.00347613
SC	0.01625456
SD	0.002788276
TN	0.021391964
TX	0.077224557
UT	0.007575936
VT	0.002439104
VA	0.025695682
WA	0.022049352
WV	0.006622214
WI	0.019828865
WY	0.001998737
