StationID, CoordinateX, CoordinateY, 2020-2024, 2025-2029, 2030-2034, 2035-2039, 2040-2044
N2466, -86.2628367441, 39.9286421089, 0, 2, 2, 2, 2
N2467, -86.1580317233, 39.9302260903, 0, 0, 0, 0, 7
N2468, -86.2730157153, 39.9307031015, 1, 2, 2, 3, 3
N2469, -86.3390127281, 39.9310990757, 0, 0, 0, 0, 0
N2470, -82.927616721, 39.9321250933, 0, 0, 0, 0, 0
N2471, -82.8519717454, 39.9341140906, 0, 0, 0, 0, 0
N2472, -75.3650697484, 39.9371831026, 0, 0, 0, 0, 0
N2473, -83.4158608335, 39.9475874781, 0, 0, 0, 5, 6
N2474, -82.4165067367, 39.9444367456, 0, 0, 0, 0, 0
N2475, -83.0167617482, 39.9509980904, 0, 0, 0, 0, 0
N2476, -83.0143047392, 39.9518260782, 0, 0, 0, 0, 0
N2477, -81.9819084055, 39.9473109168, 0, 0, 0, 0, 0
N2478, -80.1671539887, 39.9536761725, 1, 1, 2, 2, 2
N2479, -75.140492709, 39.9540052174, 1, 1, 1, 1, 1
N2480, -82.9844607389, 39.9544360781, 0, 5, 8, 13, 18
N2481, -75.1495557105, 39.9544450776, 0, 0, 0, 1, 1
N2482, -75.1478367374, 39.9552911067, 0, 0, 0, 0, 0
N2483, -75.140492709, 39.9554980929, 0, 0, 0, 1, 1
N2484, -75.151679741, 39.956668101, 0, 0, 0, 0, 1
N2485, -75.1473147295, 39.9573341002, 0, 0, 0, 0, 0
N2486, -75.1404567109, 39.9584681111, 0, 0, 0, 0, 1
N2487, -75.1819917107, 39.9596380769, 1, 1, 1, 1, 1
N2488, -123.784283168, 39.9600137489, 1, 1, 1, 1, 1
N2489, -74.9181532089, 39.9603508094, 0, 0, 0, 1, 1
N2490, -74.2061246988, 39.9616175423, 1, 1, 1, 1, 1
N2491, -111.788065022, 39.9639908541, 0, 0, 0, 0, 0
N2492, -86.6504425953, 39.9642898508, 0, 0, 0, 0, 0
N2493, -74.9094653478, 39.9658925803, 0, 0, 0, 0, 0
N2494, -83.0616717391, 39.9678550916, 0, 1, 2, 2, 2
N2495, -83.0223147245, 39.9696820994, 2, 2, 2, 2, 2
N2496, -82.9838037392, 39.9721931046, 2, 3, 3, 4, 4
N2497, -83.0207577418, 39.9758020813, 0, 2, 3, 4, 4
N2498, -83.0150337341, 39.9737140902, 1, 1, 1, 1, 1
N2499, -83.1198477122, 39.9759190732, 0, 0, 0, 5, 5
N2500, -76.7297847066, 39.9840550932, 0, 0, 0, 0, 0
N2501, -78.2430146095, 39.9850440452, 0, 0, 0, 0, 0
N2502, -78.2566707123, 39.9870971057, 3, 8, 16, 27, 36
N2503, -78.2413053922, 39.990788669, 0, 0, 0, 1, 1
N2504, -89.5131642329, 39.9920100544, 3, 3, 3, 3, 4
N2505, -79.0054167204, 39.9927220783, 0, 0, 0, 0, 0
N2506, -78.7600236744, 39.977618273, 0, 0, 0, 0, 0
N2507, -79.0381947409, 39.9978970786, 3, 9, 18, 31, 41
N2508, -81.5587257393, 39.9987971048, 0, 5, 10, 15, 20
N2509, -78.2388867285, 39.9993551107, 0, 0, 0, 0, 0
N2510, -78.2325057221, 39.9994541045, 1, 1, 1, 1, 1
N2511, -105.258704744, 40.0000121105, 1, 1, 1, 1, 1
N2512, -122.206200596, 40.0013082035, 0, 0, 0, 0, 0
N2513, -75.1946187337, 40.004467074, 1, 1, 1, 1, 1
N2514, -91.3082547098, 40.0073380976, 0, 0, 0, 0, 1
N2515, -78.3947440685, 40.0107782184, 0, 0, 0, 0, 0
N2516, -82.9005807072, 40.011262096, 0, 7, 14, 23, 30
N2517, -88.6299026703, 40.0306082039, 0, 0, 0, 0, 2
N2518, -95.1155943527, 40.0326482863, 0, 0, 0, 0, 0
N2519, -76.5281052653, 40.0345562583, 0, 0, 0, 0, 0
N2520, -79.0543047068, 40.0352200991, 1, 1, 1, 1, 1
N2521, -85.7290164266, 40.0363358835, 0, 0, 0, 0, 0
N2522, -79.0551327369, 40.0368580775, 1, 1, 1, 1, 1
N2523, -75.5816153419, 40.0375616666, 1, 1, 1, 1, 1
N2524, -79.0555287111, 40.0378930947, 1, 1, 1, 1, 1
N2525, -79.0560237213, 40.039288088, 1, 1, 1, 1, 1
N2526, -78.5177427412, 40.0499170718, 0, 0, 0, 0, 0
N2527, -80.7333087361, 40.0490800845, 0, 0, 0, 0, 0
N2528, -80.6638197395, 40.0491160816, 2, 3, 5, 6, 7
N2529, -81.2029081651, 40.0590086808, 3, 7, 13, 21, 28
N2530, -104.653003934, 40.0639639471, 1, 1, 2, 2, 2
N2531, -75.3216627431, 40.0649111095, 0, 0, 0, 0, 0
N2532, -80.8408587477, 40.0677100964, 0, 0, 0, 0, 0
N2533, -74.9606007175, 40.0703020973, 0, 0, 0, 0, 0
N2534, -76.3255047483, 40.0713370721, 1, 1, 1, 1, 1
N2535, -76.2878937469, 40.0671880886, 0, 0, 0, 0, 1
N2536, -80.7400308617, 40.0715593126, 0, 1, 1, 1, 1
N2537, -123.790982717, 40.0734611026, 0, 0, 0, 0, 0
N2538, -77.8886034959, 40.0758114853, 0, 0, 0, 0, 0
N2539, -75.4067577382, 40.0797880707, 0, 0, 0, 0, 1
N2540, -75.3945987269, 40.0834690848, 2, 3, 5, 8, 10
N2541, -77.4159467164, 40.0888656997, 0, 0, 0, 0, 3
